City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
428,Kingston,JM,88.25,17.997,-76.7936,scattered clouds,Aphrodite Hotel
430,Ogbomosho,NG,86.18,8.133,4.25,clear sky,Alapo Evergreen Hotel
432,Omboue,GA,78.89,-1.5746,9.2618,clear sky,Georges Faustin Aurat
435,Upington,ZA,84.58,-28.4478,21.2561,clear sky,Die Eiland Holiday Ressort
438,Muisne,EC,80.42,0.6,-80.0333,overcast clouds,Hostal Té de Menta
439,Port-Gentil,GA,82.36,-0.7193,8.7815,scattered clouds,Tara-Mé
441,Altamira,BR,86.09,-3.2033,-52.2064,broken clouds,Hotel Vale do Xingu
442,Orange,US,72.75,33.7,-117.7675,clear sky,La Quinta Inn & Suites
443,Labuan,MY,79.16,5.2767,115.2417,few clouds,Labuan Avenue Hotel
447,Sao Gabriel Da Cachoeira,BR,89.4,-0.1303,-67.0892,scattered clouds,Casa de Hóspedes do CFRN/5ºBIS
448,Tual,ID,81.39,-5.6667,132.75,overcast clouds,Suita
449,Tucuman,AR,77.0,-26.8241,-65.2226,overcast clouds,Suites San Luis
450,San Cristobal,VE,78.98,7.7669,-72.225,overcast clouds,Terra Sur
452,Huarmey,PE,75.97,-10.0681,-78.1522,scattered clouds,Hostal Santa Rosa
455,Manokwari,ID,78.94,-0.8667,134.0833,overcast clouds,Hotel Arfak
460,Bosaso,SO,75.24,11.2842,49.1816,overcast clouds,Bosaso hotel
468,Karratha,AU,84.88,-20.7377,116.8463,few clouds,Karratha International Hotel
475,Salalah,OM,71.62,17.0151,54.0924,scattered clouds,Muscat International Hotel
478,Gorontalo,ID,73.99,0.5412,123.0595,overcast clouds,Grand City Hotel
479,Basco,PH,70.43,20.4487,121.9702,overcast clouds,Tawsen Hotel
484,Hambantota,LK,74.32,6.1241,81.1185,overcast clouds,Oasis Aurweda Resort Hambathota
487,San Ignacio,BZ,87.94,17.1561,-89.0714,few clouds,Rainforest Haven Inn
495,Koungou,YT,82.11,-12.7336,45.2042,light rain,Hôtel Trévani
508,Vaitape,PF,81.09,-16.5167,-151.75,broken clouds,Oa Oa Lodge
511,Imbituba,BR,82.76,-28.24,-48.6703,clear sky,Silvestre Praia Hotel
514,Noumea,NC,82.0,-22.2763,166.4572,clear sky,Hotel Gondwana
521,Charleston,US,73.58,32.7766,-79.9309,mist,The Mills House Hotel
529,Phan Thiet,VN,71.42,10.9333,108.1,broken clouds,Khách sạn Cà Ty
533,Itarema,BR,80.08,-2.9248,-39.9167,light rain,Pousada Oásis
536,Celestun,MX,79.79,20.8667,-90.4,clear sky,Hotel Flamingo Playa
541,Maragogi,BR,80.73,-9.0122,-35.2225,clear sky,Pousada Mariluz
